nome;versao;editor
7-Zip 24.09 (x64);24.09;Igor Pavlov
Docker Desktop;4.36.0;Docker Inc.
Git;2.47.1;The Git Development Community
Mozilla Firefox (x64 en-US);144.0;Mozilla
Mozilla Thunderbird ESR (x64 pt-BR);140.3.1;Mozilla
Mozilla Maintenance Service;128.5.2;Mozilla
;;Microsoft Corporation
Notepad++ (64-bit x64);8.7.5;Notepad++ Team
Microsoft 365 Apps para Grandes Empresas - pt-br;16.0.19231.20194;Microsoft Corporation
Microsoft OneDrive;25.184.0921.0004;Microsoft Corporation
Microsoft OneNote - pt-br;16.0.19231.20194;Microsoft Corporation
R for Windows 4.5.1;4.5.1;R Core Team
VLC media player;3.0.21;VideoLAN
Dell SupportAssist;4.10.1.42635;Dell Inc.
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30156;14.29.30156;Microsoft Corporation
MySQL Router 8.0;8.0.40;Oracle Corporation
Python 3.13.6 Executables (64-bit);3.13.6150.0;Python Software Foundation
Python 3.13.6 Tcl/Tk Support (64-bit);3.13.6150.0;Python Software Foundation
Python 3.13.6 pip Bootstrap (64-bit);3.13.6150.0;Python Software Foundation
Maxx Audio Installer (x64);2.7.13058.0;Waves Audio Ltd.
Microsoft .NET Host - 8.0.11 (x64);64.44.23191;Microsoft Corporation
MySQL Workbench 8.0 CE;8.0.40;Oracle Corporation
Bonjour;3.1.0.1;Apple Inc.
MySQL Shell;8.0.40;Oracle Corporation
MySQL Server 8.0;8.0.40;Oracle Corporation
Python 3.13.6 Documentation (64-bit);3.13.6150.0;Python Software Foundation
Dell SupportAssist OS Recovery Plugin for Dell Update;5.5.14.0;Dell Inc.
Java 8 Update 431 (64-bit);8.0.4310.10;Oracle Corporation
Python 3.13.6 Development Libraries (64-bit);3.13.6150.0;Python Software Foundation
iTunes;12.13.9.1;Apple Inc.
Node.js;22.12.0;Node.js Foundation
Python 3.13.6 Test Suite (64-bit);3.13.6150.0;Python Software Foundation
Office 16 Click-to-Run Licensing Component;16.0.19029.20208;Microsoft Corporation
Office 16 Click-to-Run Extensibility Component;16.0.19231.20194;Microsoft Corporation
Office 16 Click-to-Run Localization Component;16.0.19231.20194;Microsoft Corporation
Windows Subsystem for Linux;2.3.26.0;Microsoft Corporation
Python 3.13.6 Standard Library (64-bit);3.13.6150.0;Python Software Foundation
Microsoft .NET Runtime - 8.0.11 (x64);64.44.23191;Microsoft Corporation
PuTTY release 0.82 (64-bit);0.82.0.0;Simon Tatham
Microsoft Teams Meeting Add-in for Microsoft Office;1.24.28402;Microsoft
Adobe Acrobat (64-bit);25.001.20756;Adobe
Python 3.13.6 Core Interpreter (64-bit);3.13.6150.0;Python Software Foundation
Apple Mobile Device Support;19.0.1.27;Apple Inc.
Java(TM) SE Development Kit 21.0.3 (64-bit);21.0.3.0;Oracle Corporation
Microsoft Windows Desktop Runtime - 8.0.11 (x64);64.44.23253;Microsoft Corporation
Python 3.13.6 Add to Path (64-bit);3.13.6150.0;Python Software Foundation
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30156;14.29.30156;Microsoft Corporation
LibreOffice 24.8.3.2;24.8.3.2;The Document Foundation
Oracle VM VirtualBox 7.0.22;7.0.22;Oracle and/or its affiliates
Microsoft .NET Host FX Resolver - 8.0.11 (x64);64.44.23191;Microsoft Corporation
Google Chrome;141.0.7390.108;Google LLC
IntelliJ IDEA Community Edition 2024.2.5;242.24807.4;JetBrains s.r.o.
Microsoft Edge;141.0.3537.85;Microsoft Corporation
;1.3.203.13;
Microsoft Edge WebView2 Runtime;141.0.3537.85;Microsoft Corporation
NVDA 2025.1.2;2025.1.2.36913;NV Access
RStudio;2025.09.1+401;Posit Software
Python Launcher;3.13.6150.0;Python Software Foundation
MySQL Installer;1.6.13.0;Oracle Corporation
Java Auto Updater;2.8.431.10;Oracle Corporation
MySQL Examples and Samples;8.0.40;Oracle Corporation
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30156;14.29.30156.0;Microsoft Corporation
Adobe Refresh Manager;1.8.0;Adobe Systems Incorporated
Apple Software Update;2.7.0.3;Apple Inc.
Microsoft Windows Desktop Runtime - 8.0.11 (x64);8.0.11.34221;Microsoft Corporation
MySQL Documents;8.0.40;Oracle Corporation
Dell SupportAssist OS Recovery Plugin for Dell Update;5.5.14.0;Dell Inc.
