user;timestamp;cpu;cpu_count;ram;disco;disco_size;qtd_processos;bytes_recv;packages_recv;bytes_sent;packages_sent;proc1_name;proc1_cpu_pct;proc2_name;proc2_cpu_pct;proc3_name;proc3_cpu_pct;proc4_name;proc4_cpu_pct;proc5_name;proc5_cpu_pct
servidor6.NICOLASF8SK4U2;2025-10-26 13:51:10;28.7;4;78.0;78.3;237.82;278;210155294;187738;40162420;57171;python.exe;6.88;idea64.exe;1.3;svchost.exe;1.07;System;0.62;bash.exe;0.53
servidor6.NICOLASF8SK4U2;2025-10-26 13:51:22;41.7;4;77.8;78.3;237.82;278;210184029;187818;40181104;57252;python.exe;8.05;svchost.exe;1.8;MsMpEng.exe;1.02;svchost.exe;0.78;sihost.exe;0.53
servidor6.NICOLASF8SK4U2;2025-10-26 13:51:34;32.4;4;77.9;78.3;237.82;281;210309831;188065;40256205;57448;sqlservr.exe;17.73;python.exe;8.18;chrome.exe;0.78;chrome.exe;0.5;idea64.exe;0.5
servidor6.NICOLASF8SK4U2;2025-10-26 13:52:38;59.0;4;78.2;78.3;237.82;278;210633135;188975;40837629;58115;Code.exe;17.02;dwm.exe;9.7;sqlservr.exe;8.72;python.exe;8.2;Code.exe;4.88
servidor6.NICOLASF8SK4U2;2025-10-26 13:52:50;24.2;4;78.1;78.3;237.82;278;210646173;189048;40983276;58159;python.exe;6.67;idea64.exe;1.32;svchost.exe;0.53;conhost.exe;0.53;svchost.exe;0.28
servidor6.NICOLASF8SK4U2;2025-10-26 13:53:02;15.1;4;78.0;78.3;237.82;277;210647886;189074;40984321;58175;python.exe;6.85;svchost.exe;1.82;idea64.exe;0.8;System;0.78;MsMpEng.exe;0.28
servidor6.NICOLASF8SK4U2;2025-11-21 14:25:40;22.7;4;68.1;74.7;237.82;254;111670084;111670084;93671063;94732;System Idle Process;82.83;python.exe;6.92;idea64.exe;4.5;bash.exe;0.57;conhost.exe;0.57
servidor6.NICOLASF8SK4U2;2025-11-21 14:26:04;31.8;4;68.3;74.7;237.82;254;111710213;111710213;93709066;94817;System Idle Process;90.22;python.exe;6.25;idea64.exe;1.15;Code.exe;0.85;svchost.exe;0.57
servidor6.NICOLASF8SK4U2;2025-11-21 14:26:16;8.5;4;68.3;74.7;237.82;254;111719770;111719770;93725215;94842;System Idle Process;91.38;python.exe;6.28;Code.exe;1.15;svchost.exe;0.57;System;0.0
servidor6.NICOLASF8SK4U2;2025-11-21 14:26:27;11.3;4;68.2;74.7;237.82;253;111735346;111735346;93745452;94893;System Idle Process;91.5;python.exe;6.75;Code.exe;0.57;svchost.exe;0.28;System;0.0
